,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,sqft_above,sqft_basement,yr_built,zipcode,lat,long,year,month,price_per_sqft,bedroom_category
0,221900.0,3,1.0,1180,5650,1.0,1180,0,1955,98178,47.5112,-122.257,2014,10,188.05084745762713,medium
1,538000.0,3,2.25,2570,7242,2.0,2170,400,1951,98125,47.721,-122.319,2014,12,209.3385214007782,medium
2,180000.0,2,1.0,770,10000,1.0,770,0,1933,98028,47.7379,-122.233,2015,2,233.76623376623377,small
3,604000.0,4,3.0,1960,5000,1.0,1050,910,1965,98136,47.5208,-122.393,2014,12,308.16326530612247,medium
4,510000.0,3,2.0,1680,8080,1.0,1680,0,1987,98074,47.6168,-122.045,2015,2,303.57142857142856,medium
5,1225000.0,4,4.5,5420,101930,1.0,3890,1530,2001,98053,47.6561,-122.005,2014,5,226.01476014760146,medium
6,257500.0,3,2.25,1715,6819,2.0,1715,0,1995,98003,47.3097,-122.327,2014,6,150.14577259475217,medium
7,291850.0,3,1.5,1060,9711,1.0,1060,0,1963,98198,47.4095,-122.315,2015,1,275.3301886792453,medium
8,229500.0,3,1.0,1780,7470,1.0,1050,730,1960,98146,47.5123,-122.337,2015,4,128.93258426966293,medium
9,323000.0,3,2.5,1890,6560,2.0,1890,0,2003,98038,47.3684,-122.031,2015,3,170.8994708994709,medium
10,662500.0,3,2.5,3560,9796,1.0,1860,1700,1965,98007,47.6007,-122.145,2015,4,186.09550561797752,medium
11,468000.0,2,1.0,1160,6000,1.0,860,300,1942,98115,47.69,-122.292,2014,5,403.44827586206895,small
12,310000.0,3,1.0,1430,19901,1.5,1430,0,1927,98028,47.7558,-122.229,2014,5,216.78321678321677,medium
13,400000.0,3,1.75,1370,9680,1.0,1370,0,1977,98074,47.6127,-122.045,2014,10,291.97080291970804,medium
14,530000.0,5,2.0,1810,4850,1.5,1810,0,1900,98107,47.67,-122.394,2015,3,292.81767955801104,large
15,650000.0,4,3.0,2950,5000,2.0,1980,970,1979,98126,47.5714,-122.375,2015,1,220.33898305084745,medium
16,395000.0,3,2.0,1890,14040,2.0,1890,0,1994,98019,47.7277,-121.962,2014,7,208.994708994709,medium
17,485000.0,4,1.0,1600,4300,1.5,1600,0,1916,98103,47.6648,-122.343,2014,5,303.125,medium
18,189000.0,2,1.0,1200,9850,1.0,1200,0,1921,98002,47.3089,-122.21,2014,12,157.5,small
19,230000.0,3,1.0,1250,9774,1.0,1250,0,1969,98003,47.3343,-122.306,2015,4,184.0,medium
20,385000.0,4,1.75,1620,4980,1.0,860,760,1947,98133,47.7025,-122.341,2014,5,237.65432098765433,medium
21,2000000.0,3,2.75,3050,44867,1.0,2330,720,1968,98040,47.5316,-122.233,2014,8,655.7377049180328,medium
22,285000.0,5,2.5,2270,6300,2.0,2270,0,1995,98092,47.3266,-122.169,2014,7,125.55066079295155,large
23,252700.0,2,1.5,1070,9643,1.0,1070,0,1985,98030,47.3533,-122.166,2014,5,236.16822429906543,small
24,329000.0,3,2.25,2450,6500,2.0,2450,0,1985,98030,47.3739,-122.172,2014,11,134.28571428571428,medium
25,233000.0,3,2.0,1710,4697,1.5,1710,0,1941,98002,47.3048,-122.218,2014,11,136.25730994152048,medium
26,937000.0,3,1.75,2450,2691,2.0,1750,700,1915,98119,47.6386,-122.36,2014,6,382.44897959183675,medium
27,667000.0,3,1.0,1400,1581,1.5,1400,0,1909,98112,47.6221,-122.314,2014,12,476.42857142857144,medium
28,438000.0,3,1.75,1520,6380,1.0,790,730,1948,98115,47.695,-122.304,2014,6,288.1578947368421,medium
29,719000.0,4,2.5,2570,7173,2.0,2570,0,2005,98052,47.7073,-122.11,2015,3,279.76653696498056,medium
30,580500.0,3,2.5,2320,3980,2.0,2320,0,2003,98027,47.5391,-122.07,2014,11,250.2155172413793,medium
31,280000.0,2,1.5,1190,1265,3.0,1190,0,2005,98133,47.7274,-122.357,2014,12,235.2941176470588,small
32,687500.0,4,1.75,2330,5000,1.5,1510,820,1929,98117,47.6823,-122.368,2014,6,295.06437768240346,medium
33,535000.0,3,1.0,1090,3000,1.5,1090,0,1929,98117,47.6889,-122.375,2014,11,490.8256880733945,medium
34,322500.0,4,2.75,2060,6659,1.0,1280,780,1981,98058,47.4276,-122.157,2014,12,156.55339805825244,medium
35,696000.0,3,2.5,2300,3060,1.5,1510,790,1930,98115,47.6827,-122.31,2014,6,302.60869565217394,medium
36,550000.0,4,1.0,1660,34848,1.0,930,730,1933,98052,47.6621,-122.132,2014,5,331.32530120481925,medium
37,640000.0,4,2.0,2360,6000,2.0,2360,0,1904,98107,47.6702,-122.362,2014,12,271.1864406779661,medium
38,240000.0,4,1.0,1220,8075,1.0,890,330,1969,98001,47.3341,-122.282,2015,2,196.72131147540983,medium
39,605000.0,4,2.5,2620,7553,2.0,2620,0,1996,98056,47.5301,-122.18,2014,6,230.91603053435114,medium
40,625000.0,4,2.5,2570,5520,2.0,2570,0,2000,98074,47.6145,-122.027,2014,7,243.19066147859922,medium
41,775000.0,4,2.25,4220,24186,1.0,2600,1620,1984,98166,47.445,-122.347,2014,8,183.64928909952607,medium
42,861990.0,5,2.75,3595,5639,2.0,3595,0,2014,98053,47.6848,-122.016,2014,7,239.77468706536857,large
43,685000.0,3,1.0,1570,2280,2.0,1570,0,1922,98119,47.6413,-122.364,2014,10,436.30573248407643,medium
44,309000.0,3,1.0,1280,9656,1.0,920,360,1959,98058,47.4485,-122.175,2014,7,241.40625,medium
45,488000.0,3,2.5,3160,13603,2.0,3160,0,2003,98019,47.7443,-121.977,2014,7,154.43037974683546,medium
46,210490.0,3,1.0,990,8528,1.0,990,0,1966,98023,47.3066,-122.371,2015,3,212.6161616161616,medium
47,785000.0,4,2.5,2290,13416,2.0,2290,0,1981,98007,47.6194,-122.151,2014,7,342.7947598253275,medium
48,450000.0,3,1.75,1250,5963,1.0,1250,0,1953,98115,47.6796,-122.301,2015,4,360.0,medium
49,1350000.0,3,2.5,2753,65005,1.0,2165,588,1953,98070,47.4041,-122.451,2015,3,490.37413730475845,medium
50,228000.0,3,1.0,1190,9199,1.0,1190,0,1955,98148,47.4258,-122.322,2014,9,191.5966386554622,medium
51,345000.0,5,2.5,3150,9134,1.0,1640,1510,1966,98056,47.4934,-122.189,2015,2,109.52380952380952,large
52,600000.0,3,1.75,1410,4080,1.0,1000,410,1950,98117,47.6808,-122.384,2014,12,425.531914893617,medium
53,585000.0,2,1.75,1980,8550,1.0,990,990,1981,98117,47.6989,-122.369,2015,2,295.45454545454544,small
54,920000.0,5,2.25,2730,6000,1.5,2130,600,1927,98105,47.6571,-122.281,2015,3,336.996336996337,large
55,885000.0,4,2.5,2830,5000,2.0,2830,0,1995,98105,47.6597,-122.29,2014,5,312.7208480565371,medium
56,292500.0,4,2.5,2250,4495,2.0,2250,0,2008,98042,47.3663,-122.114,2014,8,130.0,medium
57,301000.0,3,2.5,2420,4750,2.0,2420,0,2003,98042,47.3663,-122.122,2015,4,124.3801652892562,medium
58,951000.0,5,3.25,3250,14342,2.0,3250,0,1968,98008,47.588,-122.116,2014,8,292.61538461538464,large
59,430000.0,4,3.0,1850,9976,2.0,1850,0,1991,98059,47.5059,-122.149,2015,2,232.43243243243242,medium
60,650000.0,3,2.25,2150,21235,1.0,1590,560,1959,98166,47.4336,-122.339,2014,12,302.3255813953488,medium
61,289000.0,3,1.75,1260,8400,1.0,1260,0,1954,98148,47.4366,-122.335,2014,8,229.36507936507937,medium
62,505000.0,3,1.75,2519,8690,2.0,2519,0,1973,98166,47.4428,-122.344,2014,10,200.47637951568083,medium
63,549000.0,3,1.75,1540,1044,3.0,1540,0,2014,98115,47.6765,-122.32,2014,12,356.4935064935065,medium
64,425000.0,3,2.25,1660,6000,1.0,1110,550,1979,98122,47.6113,-122.297,2014,6,256.0240963855422,medium
65,317625.0,3,2.75,2770,3809,1.5,1770,1000,1925,98144,47.5747,-122.304,2014,11,114.66606498194946,medium
66,975000.0,4,2.5,2720,11049,2.0,2720,0,1989,98004,47.5815,-122.192,2014,9,358.45588235294116,medium
67,287000.0,4,2.5,2240,4648,2.0,2240,0,2005,98001,47.3378,-122.257,2014,10,128.125,medium
68,204000.0,3,1.0,1000,12070,1.0,1000,0,1968,98042,47.3621,-122.11,2014,8,204.0,medium
69,1325000.0,5,2.25,3200,20158,1.0,1600,1600,1965,98004,47.6303,-122.215,2014,6,414.0625,large
70,1040000.0,5,3.25,4770,50094,1.0,3070,1700,1973,98005,47.6525,-122.16,2014,9,218.02935010482182,large
71,325000.0,3,2.0,1260,5612,1.0,1260,0,1972,98034,47.7362,-122.179,2015,1,257.93650793650795,medium
72,571000.0,4,2.0,2750,7807,1.5,2250,500,1916,98125,47.7168,-122.287,2014,6,207.63636363636363,medium
73,360000.0,4,2.5,2380,5000,2.0,2380,0,2005,98038,47.3608,-122.036,2014,7,151.26050420168067,medium
74,349000.0,3,1.75,1790,50529,1.0,1090,700,1965,98042,47.3511,-122.073,2015,3,194.97206703910615,medium
75,832500.0,4,4.0,3430,35102,2.0,2390,1040,1986,98075,47.5822,-121.987,2014,11,242.71137026239066,medium
76,380000.0,4,1.75,1760,7300,1.0,880,880,1956,98008,47.6034,-122.125,2014,10,215.9090909090909,medium
77,480000.0,3,1.0,1040,5060,1.0,1040,0,1941,98116,47.5636,-122.394,2015,4,461.53846153846155,medium
78,410000.0,3,1.0,1410,5060,1.0,910,500,1956,98133,47.7073,-122.34,2014,6,290.78014184397165,medium
79,720000.0,4,2.5,3450,39683,2.0,3450,0,2002,98010,47.342,-122.025,2015,3,208.69565217391303,medium
80,390000.0,3,2.5,2350,5100,2.0,2350,0,2003,98038,47.3512,-122.008,2014,12,165.95744680851064,medium
81,360000.0,4,2.5,1900,5889,2.0,1900,0,1992,98038,47.349,-122.031,2014,12,189.47368421052633,medium
82,355000.0,2,1.0,2020,6720,1.0,1010,1010,1948,98118,47.5474,-122.291,2014,10,175.74257425742573,small
83,356000.0,3,1.5,1680,8712,1.0,1680,0,1964,98059,47.4811,-122.149,2015,1,211.9047619047619,medium
84,315000.0,3,1.0,960,6634,1.0,960,0,1952,98125,47.7264,-122.31,2014,6,328.125,medium
85,940000.0,3,1.5,2140,3600,2.0,1900,240,1925,98119,47.6337,-122.365,2014,11,439.25233644859816,medium
86,305000.0,5,2.25,2660,8400,1.5,2660,0,1961,98092,47.2909,-122.189,2014,11,114.66165413533835,large
87,461000.0,3,3.25,2770,6278,2.0,1980,790,2006,98056,47.5228,-122.199,2014,6,166.4259927797834,medium
88,215000.0,2,2.25,1610,2040,2.0,1610,0,1979,98056,47.518,-122.194,2014,5,133.54037267080744,small
89,335000.0,2,1.75,1030,1066,2.0,765,265,2006,98136,47.5394,-122.387,2014,9,325.24271844660194,small
90,243500.0,4,2.5,1980,7403,2.0,1980,0,1988,98023,47.2897,-122.372,2014,5,122.97979797979798,medium
91,1099880.0,5,2.75,3520,6353,2.0,3520,0,2001,98199,47.6506,-122.391,2015,3,312.46590909090907,large
92,153000.0,3,1.0,1200,10500,1.0,1200,0,1962,98023,47.322,-122.351,2015,2,127.5,medium
93,430000.0,3,1.5,1580,5000,1.0,1290,290,1939,98117,47.687,-122.386,2014,7,272.1518987341772,medium
94,700000.0,3,1.5,1580,5000,1.0,1290,290,1939,98117,47.687,-122.386,2014,12,443.0379746835443,medium
95,905000.0,4,2.5,3300,10250,1.0,2390,910,1946,98040,47.5873,-122.249,2014,9,274.24242424242425,medium
96,247500.0,3,1.75,1960,15681,1.0,1960,0,1967,98032,47.3576,-122.277,2015,3,126.27551020408163,medium
97,199000.0,4,1.5,1160,6400,1.0,1160,0,1975,98023,47.3036,-122.378,2014,9,171.55172413793105,medium
98,314000.0,3,1.75,1810,41800,1.0,1210,600,1980,98038,47.4109,-121.958,2014,7,173.48066298342542,medium
99,437500.0,3,2.5,2320,36847,2.0,2320,0,1992,98045,47.4838,-121.714,2014,5,188.57758620689654,medium
100,850830.0,3,2.5,2070,13241,1.5,1270,800,1910,98102,47.6415,-122.315,2014,6,411.0289855072464,medium
101,555000.0,3,2.0,1980,3478,1.5,1440,540,1929,98117,47.6775,-122.372,2014,10,280.3030303030303,medium
102,699950.0,3,2.25,2190,107593,2.0,2190,0,1983,98077,47.7731,-122.08,2014,12,319.61187214611874,medium
103,1088000.0,3,2.5,2920,8113,2.0,2920,0,1950,98004,47.5814,-122.196,2014,10,372.6027397260274,medium
104,290000.0,3,1.0,1210,33919,1.0,1210,0,1954,98058,47.4375,-122.184,2014,9,239.6694214876033,medium
105,375000.0,3,2.5,2340,10005,1.0,1460,880,1978,98058,47.4431,-122.133,2015,4,160.25641025641025,medium
106,460000.0,3,1.0,1670,4005,1.5,1170,500,1939,98117,47.6878,-122.38,2014,5,275.4491017964072,medium
107,188500.0,2,1.75,1240,2493,1.0,1240,0,1985,98198,47.3813,-122.322,2014,7,152.01612903225808,small
108,680000.0,4,2.5,3140,28037,2.0,3140,0,1991,98077,47.7304,-122.082,2015,3,216.56050955414014,medium
109,470000.0,5,1.75,2030,12342,2.0,2030,0,1942,98052,47.6417,-122.109,2014,8,231.5270935960591,large
110,597750.0,4,2.5,2310,9624,2.0,2310,0,1984,98027,47.5386,-122.053,2014,7,258.76623376623377,medium
111,570000.0,3,1.75,1260,3328,1.0,700,560,1905,98103,47.6823,-122.349,2015,3,452.3809523809524,medium
112,272500.0,3,1.75,1540,12600,1.0,1160,380,1980,98038,47.3624,-122.031,2014,9,176.94805194805195,medium
113,329950.0,3,1.75,2080,5969,1.0,1080,1000,1971,98108,47.5474,-122.295,2014,11,158.62980769230768,medium
114,480000.0,4,2.5,3230,16171,2.0,2520,710,2001,98001,47.3183,-122.253,2014,10,148.60681114551085,medium
115,740500.0,3,3.5,4380,6350,2.0,2780,1600,1900,98117,47.6981,-122.368,2014,11,169.06392694063928,medium
116,518500.0,3,3.5,1590,1102,3.0,1590,0,2010,98103,47.6824,-122.347,2014,6,326.1006289308176,medium
117,205425.0,2,1.0,880,6780,1.0,880,0,1945,98178,47.5009,-122.248,2014,6,233.4375,small
118,171800.0,4,2.0,1570,9600,1.0,1570,0,1950,98168,47.4965,-122.303,2015,1,109.4267515923567,medium
119,535000.0,4,1.0,1610,2982,1.5,1610,0,1925,98144,47.587,-122.294,2015,5,332.29813664596276,medium
120,660000.0,3,2.5,2400,6474,1.0,1560,840,1964,98177,47.7728,-122.386,2015,1,275.0,medium
121,391500.0,3,2.0,1450,9132,1.0,1450,0,1987,98034,47.7288,-122.226,2014,11,270.0,medium
122,395000.0,2,1.0,770,6000,1.0,770,0,1953,98117,47.6999,-122.364,2015,4,512.987012987013,small
123,445000.0,4,1.75,2100,4400,1.5,1720,380,1924,98118,47.5299,-122.266,2014,11,211.9047619047619,medium
124,770000.0,3,2.25,2910,10204,2.0,2910,0,1990,98052,47.6897,-122.098,2014,6,264.6048109965636,medium
125,1450000.0,4,2.75,2750,17789,1.5,1980,770,1914,98004,47.6141,-122.212,2015,3,527.2727272727273,medium
126,445000.0,3,2.25,2100,8201,1.0,1620,480,1967,98178,47.5091,-122.244,2014,7,211.9047619047619,medium
127,260000.0,4,2.25,2160,8811,1.0,1360,800,1978,98023,47.3129,-122.39,2014,7,120.37037037037037,medium
128,822500.0,5,3.5,2320,4960,2.0,1720,600,1926,98103,47.6763,-122.352,2014,6,354.5258620689655,large
129,430000.0,4,2.5,2070,4310,2.0,2070,0,2004,98065,47.5319,-121.85,2015,4,207.72946859903382,medium
130,212000.0,3,1.75,1060,7875,1.0,1060,0,1986,98092,47.2761,-122.152,2015,1,200.0,medium
131,660500.0,4,2.25,2010,9603,1.0,1440,570,1986,98027,47.5343,-122.054,2015,4,328.60696517412936,medium
132,784000.0,3,3.5,3950,111078,1.5,2460,1490,1989,98052,47.697,-122.072,2014,6,198.48101265822785,medium
133,453246.0,3,2.5,2010,2287,2.0,1390,620,2014,98029,47.5517,-121.998,2014,5,225.4955223880597,medium
134,675000.0,4,3.5,2140,2278,3.0,2140,0,2005,98107,47.6734,-122.38,2015,1,315.42056074766356,medium
135,199000.0,3,1.75,1320,17390,1.0,1320,0,1956,98003,47.3257,-122.296,2014,8,150.75757575757575,medium
